IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2212608
CRC VERIFIED 1167360/2212608 (4.5s)
CRC VERIFIED 1171456/2212608 (4.5s)
CRC VERIFIED 1175552/2212608 (4.5s)
CRC VERIFIED 1179648/2212608 (4.5s)
CRC VERIFIED 1183744/2212608 (4.5s)
CRC VERIFIED 1187840/2212608 (4.5s)
CRC VERIFIED 1191936/2212608 (4.6s)
CRC VERIFIED 1196032/2212608 (4.6s)
CRC VERIFIED 1200128/2212608 (4.6s)
CRC VERIFIED 1204224/2212608 (4.6s)
CRC VERIFIED 1208320/2212608 (4.6s)
CRC VERIFIED 1212416/2212608 (4.6s)
CRC VERIFIED 1216512/2212608 (4.7s)
CRC VERIFIED 1220608/2212608 (4.7s)
CRC VERIFIED 1224704/2212608 (4.7s)
CRC VERIFIED 1228800/2212608 (4.7s)
CRC VERIFIED 1232896/2212608 (4.7s)
CRC VERIFIED 1236992/2212608 (4.7s)
CRC VERIFIED 1241088/2212608 (4.8s)
CRC VERIFIED 1245184/2212608 (4.8s)
CRC VERIFIED 1249280/2212608 (4.8s)
CRC VERIFIED 1253376/2212608 (4.8s)
CRC VERIFIED 1257472/2212608 (4.8s)
CRC VERIFIED 1261568/2212608 (4.8s)
CRC VERIFIED 1265664/2212608 (4.8s)
CRC VERIFIED 1269760/2212608 (4.9s)
CRC VERIFIED 1273856/2212608 (4.9s)
CRC VERIFIED 1277952/2212608 (4.9s)
CRC VERIFIED 1282048/2212608 (4.9s)
CRC VERIFIED 1286144/2212608 (4.9s)
CRC VERIFIED 1290240/2212608 (4.9s)
CRC VERIFIED 1294336/2212608 (5.0s)
CRC VERIFIED 1298432/2212608 (5.0s)
CRC VERIFIED 1302528/2212608 (5.0s)
CRC VERIFIED 1306624/2212608 (5.0s)
CRC VERIFIED 1310720/2212608 (5.0s)
CRC VERIFIED 1314816/2212608 (5.0s)
CRC VERIFIED 1318912/2212608 (5.0s)
CRC VERIFIED 1323008/2212608 (5.1s)
CRC VERIFIED 1327104/2212608 (5.1s)
CRC VERIFIED 1331200/2212608 (5.1s)
CRC VERIFIED 1335296/2212608 (5.1s)
CRC VERIFIED 1339392/2212608 (5.1s)
CRC VERIFIED 1343488/2212608 (5.1s)
CRC VERIFIED 1347584/2212608 (5.2s)
CRC VERIFIED 1351680/2212608 (5.2s)
CRC VERIFIED 1355776/2212608 (5.2s)
CRC VERIFIED 1359872/2212608 (5.2s)
CRC VERIFIED 1363968/2212608 (5.2s)
CRC VERIFIED 1368064/2212608 (5.2s)
CRC VERIFIED 1372160/2212608 (5.2s)
CRC VERIFIED 1376256/2212608 (5.3s)
CRC VERIFIED 1380352/2212608 (5.3s)
CRC VERIFIED 1384448/2212608 (5.3s)
CRC VERIFIED 1388544/2212608 (5.3s)
CRC VERIFIED 1392640/2212608 (5.3s)
CRC VERIFIED 1396736/2212608 (5.3s)
CRC VERIFIED 1400832/2212608 (5.4s)
CRC VERIFIED 1404928/2212608 (5.4s)
CRC VERIFIED 1409024/2212608 (5.4s)
CRC VERIFIED 1413120/2212608 (5.4s)
CRC VERIFIED 1417216/2212608 (5.4s)
CRC VERIFIED 1421312/2212608 (5.4s)
CRC VERIFIED 1425408/2212608 (5.5s)
CRC VERIFIED 1429504/2212608 (5.5s)
CRC VERIFIED 1433600/2212608 (5.5s)
CRC VERIFIED 1437696/2212608 (5.5s)
CRC VERIFIED 1441792/2212608 (5.5s)
CRC VERIFIED 1445888/2212608 (5.5s)
CRC VERIFIED 1449984/2212608 (5.5s)
CRC VERIFIED 1454080/2212608 (5.6s)
CRC VERIFIED 1458176/2212608 (5.6s)
CRC VERIFIED 1462272/2212608 (5.6s)
CRC VERIFIED 1466368/2212608 (5.6s)
CRC VERIFIED 1470464/2212608 (5.6s)
CRC VERIFIED 1474560/2212608 (5.6s)
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
