IMAGE 2229232 bc1ec4b367e5eb46f3f629ef69658aae316cbb938f0eb4627b22d39f9cecdf29
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2229232
CRC VERIFIED 1097728/2229232 (4.2s)
CRC VERIFIED 1101824/2229232 (4.2s)
CRC VERIFIED 1105920/2229232 (4.2s)
CRC VERIFIED 1110016/2229232 (4.2s)
CRC VERIFIED 1114112/2229232 (4.3s)
CRC VERIFIED 1118208/2229232 (4.3s)
CRC VERIFIED 1122304/2229232 (4.3s)
CRC VERIFIED 1126400/2229232 (4.3s)
CRC VERIFIED 1130496/2229232 (4.3s)
CRC VERIFIED 1134592/2229232 (4.3s)
CRC VERIFIED 1138688/2229232 (4.4s)
CRC VERIFIED 1142784/2229232 (4.4s)
CRC VERIFIED 1146880/2229232 (4.4s)
CRC VERIFIED 1150976/2229232 (4.4s)
CRC VERIFIED 1155072/2229232 (4.4s)
CRC VERIFIED 1159168/2229232 (4.4s)
CRC VERIFIED 1163264/2229232 (4.5s)
CRC VERIFIED 1167360/2229232 (4.5s)
CRC VERIFIED 1171456/2229232 (4.5s)
CRC VERIFIED 1175552/2229232 (4.5s)
CRC VERIFIED 1179648/2229232 (4.5s)
CRC VERIFIED 1183744/2229232 (4.5s)
CRC VERIFIED 1187840/2229232 (4.5s)
CRC VERIFIED 1191936/2229232 (4.6s)
CRC VERIFIED 1196032/2229232 (4.6s)
CRC VERIFIED 1200128/2229232 (4.6s)
CRC VERIFIED 1204224/2229232 (4.6s)
CRC VERIFIED 1208320/2229232 (4.6s)
CRC VERIFIED 1212416/2229232 (4.6s)
CRC VERIFIED 1216512/2229232 (4.7s)
CRC VERIFIED 1220608/2229232 (4.7s)
CRC VERIFIED 1224704/2229232 (4.7s)
CRC VERIFIED 1228800/2229232 (4.7s)
CRC VERIFIED 1232896/2229232 (4.7s)
CRC VERIFIED 1236992/2229232 (4.7s)
CRC VERIFIED 1241088/2229232 (4.8s)
CRC VERIFIED 1245184/2229232 (4.8s)
CRC VERIFIED 1249280/2229232 (4.8s)
CRC VERIFIED 1253376/2229232 (4.8s)
CRC VERIFIED 1257472/2229232 (4.8s)
CRC VERIFIED 1261568/2229232 (4.8s)
CRC VERIFIED 1265664/2229232 (4.8s)
CRC VERIFIED 1269760/2229232 (4.9s)
CRC VERIFIED 1273856/2229232 (4.9s)
CRC VERIFIED 1277952/2229232 (4.9s)
CRC VERIFIED 1282048/2229232 (4.9s)
CRC VERIFIED 1286144/2229232 (4.9s)
CRC VERIFIED 1290240/2229232 (4.9s)
CRC VERIFIED 1294336/2229232 (5.0s)
CRC VERIFIED 1298432/2229232 (5.0s)
CRC VERIFIED 1302528/2229232 (5.0s)
CRC VERIFIED 1306624/2229232 (5.0s)
CRC VERIFIED 1310720/2229232 (5.0s)
CRC VERIFIED 1314816/2229232 (5.0s)
CRC VERIFIED 1318912/2229232 (5.0s)
